1       ; 0x0c28b914 ;            ; 432 35 0462698625 ; Iran             ; MTN Irancell   ; MTN Irancell Telecommunications Services Company ; 432  ; 35    ; 12830  ; 16645  ; 2025-11-09T10:48:56.840811
2       ; 0x371f3c04 ; 0x56469519 ; 432 35 0711093172 ; Iran             ; MTN Irancell   ; MTN Irancell Telecommunications Services Company ; 432  ; 35    ; 12830  ; 16645  ; 2025-11-09T10:49:04.682151
3       ; 0xdb5cea51 ; 0x09043ab9 ; 432 35 0452597296 ; Iran             ; MTN Irancell   ; MTN Irancell Telecommunications Services Company ; 432  ; 35    ; 12830  ; 16645  ; 2025-11-09T10:49:23.419227
4       ; 0x0528b118 ; 0x09043ab9 ; 432 35 0496957952 ; Iran             ; MTN Irancell   ; MTN Irancell Telecommunications Services Company ; 432  ; 35    ; 12830  ; 16645  ; 2025-11-09T10:49:34.717143
5       ; 0x2e0af9af ;            ; 432 35 0555392063 ; Iran             ; MTN Irancell   ; MTN Irancell Telecommunications Services Company ; 432  ; 35    ; 12830  ; 16645  ; 2025-11-09T10:49:34.874233
6       ;            ;            ; 432 35 0726956580 ; Iran             ; MTN Irancell   ; MTN Irancell Telecommunications Services Company ; 432  ; 35    ; 12830  ; 16645  ; 2025-11-09T10:49:50.110343
7       ; 0x032128b5 ; 0x4c25eb3f ; 432 35 0335417816 ; Iran             ; MTN Irancell   ; MTN Irancell Telecommunications Services Company ; 432  ; 35    ; 12830  ; 16645  ; 2025-11-09T10:50:02.728498
8       ; 0x192b330f ; 0x9337ec4b ; 432 35 0458214710 ; Iran             ; MTN Irancell   ; MTN Irancell Telecommunications Services Company ; 432  ; 35    ; 12830  ; 16645  ; 2025-11-09T10:51:09.243954
9       ;            ;            ; 432 35 0721997989 ; Iran             ; MTN Irancell   ; MTN Irancell Telecommunications Services Company ; 432  ; 35    ; 12830  ; 16645  ; 2025-11-09T10:51:31.577632
10      ; 0x5e486c97 ;            ; 432 35 0461300584 ; Iran             ; MTN Irancell   ; MTN Irancell Telecommunications Services Company ; 432  ; 35    ; 12830  ; 16645  ; 2025-11-09T10:51:42.765821
11      ; 0xa9232b58 ;            ; 432 35 0726878220 ; Iran             ; MTN Irancell   ; MTN Irancell Telecommunications Services Company ; 432  ; 35    ; 12830  ; 16645  ; 2025-11-09T10:52:38.878849
12      ;            ;            ; 432 35 0466403756 ; Iran             ; MTN Irancell   ; MTN Irancell Telecommunications Services Company ; 432  ; 35    ; 12830  ; 16645  ; 2025-11-09T10:52:53.236729
13      ;            ;            ; 432 35 0444397758 ; Iran             ; MTN Irancell   ; MTN Irancell Telecommunications Services Company ; 432  ; 35    ; 12830  ; 16645  ; 2025-11-09T10:53:46.480797
14      ; 0x29207226 ;            ; 432 35 0457562407 ; Iran             ; MTN Irancell   ; MTN Irancell Telecommunications Services Company ; 432  ; 35    ; 12830  ; 16645  ; 2025-11-09T10:53:56.856223
15      ; 0x052b18a1 ; 0x5f26988c ; 432 35 0507725163 ; Iran             ; MTN Irancell   ; MTN Irancell Telecommunications Services Company ; 432  ; 35    ; 12830  ; 16645  ; 2025-11-09T10:53:57.234727
